fen,move_rank,move
r2qkb1r/pp1n1ppp/5n2/2pp4/3P4/5N2/PPP2PPP/RNBQ1RK1 w kq - 0 8,2,"{'Move': 'd1e2', 'Centipawn': 144, 'Mate': None}"
r2qkb1r/pp1n1ppp/5n2/2pp4/3P4/5N2/PPP2PPP/RNBQ1RK1 w kq - 0 8,3,"{'Move': 'b1c3', 'Centipawn': 105, 'Mate': None}"
r2qkb1r/pp1n1ppp/5n2/2pp4/3P4/2P2N2/PP3PPP/RNBQ1RK1 b kq - 0 8,1,"{'Move': 'f8e7', 'Centipawn': 18, 'Mate': None}"
r2qkb1r/pp1n1ppp/5n2/2pp4/3P4/2P2N2/PP3PPP/RNBQ1RK1 b kq - 0 8,2,"{'Move': 'a7a5', 'Centipawn': 55, 'Mate': None}"
r2qkb1r/pp1n1ppp/5n2/2pp4/3P4/2P2N2/PP3PPP/RNBQ1RK1 b kq - 0 8,3,"{'Move': 'c5d4', 'Centipawn': 57, 'Mate': None}"
r2qk2r/pp1nbppp/5n2/2pp4/3P4/2P2N2/PP3PPP/RNBQ1RK1 w kq - 1 9,1,"{'Move': 'd4c5', 'Centipawn': 22, 'Mate': None}"
r2qk2r/pp1nbppp/5n2/2pp4/3P4/2P2N2/PP3PPP/RNBQ1RK1 w kq - 1 9,2,"{'Move': 'h2h3', 'Centipawn': 21, 'Mate': None}"
r2qk2r/pp1nbppp/5n2/2pp4/3P4/2P2N2/PP3PPP/RNBQ1RK1 w kq - 1 9,3,"{'Move': 'c1f4', 'Centipawn': 15, 'Mate': None}"
r2qk2r/pp1nbppp/5n2/2pp4/3P4/2P2N2/PP3PPP/RNBQR1K1 b kq - 2 9,1,"{'Move': 'e8g8', 'Centipawn': 7, 'Mate': None}"
r2qk2r/pp1nbppp/5n2/2pp4/3P4/2P2N2/PP3PPP/RNBQR1K1 b kq - 2 9,2,"{'Move': 'a7a5', 'Centipawn': 37, 'Mate': None}"
r2qk2r/pp1nbppp/5n2/2pp4/3P4/2P2N2/PP3PPP/RNBQR1K1 b kq - 2 9,3,"{'Move': 'c5d4', 'Centipawn': 52, 'Mate': None}"
r2q1rk1/pp1nbppp/5n2/2pp4/3P4/2P2N2/PP3PPP/RNBQR1K1 w - - 3 10,1,"{'Move': 'c1f4', 'Centipawn': 15, 'Mate': None}"
r2q1rk1/pp1nbppp/5n2/2pp4/3P4/2P2N2/PP3PPP/RNBQR1K1 w - - 3 10,2,"{'Move': 'b1d2', 'Centipawn': 6, 'Mate': None}"
r2q1rk1/pp1nbppp/5n2/2pp4/3P4/2P2N2/PP3PPP/RNBQR1K1 w - - 3 10,3,"{'Move': 'c1g5', 'Centipawn': 0, 'Mate': None}"
r2q1rk1/pp1nbppp/5n2/2Pp4/8/2P2N2/PP3PPP/RNBQR1K1 b - - 0 10,1,"{'Move': 'e7c5', 'Centipawn': -6, 'Mate': None}"
r2q1rk1/pp1nbppp/5n2/2Pp4/8/2P2N2/PP3PPP/RNBQR1K1 b - - 0 10,2,"{'Move': 'd7c5', 'Centipawn': 16, 'Mate': None}"
r2q1rk1/pp1nbppp/5n2/2Pp4/8/2P2N2/PP3PPP/RNBQR1K1 b - - 0 10,3,"{'Move': 'a8c8', 'Centipawn': 117, 'Mate': None}"
r2q1rk1/pp1n1ppp/5n2/2bp4/8/2P2N2/PP3PPP/RNBQR1K1 w - - 0 11,1,"{'Move': 'e1e2', 'Centipawn': -3, 'Mate': None}"
r2q1rk1/pp1n1ppp/5n2/2bp4/8/2P2N2/PP3PPP/RNBQR1K1 w - - 0 11,2,"{'Move': 'c1e3', 'Centipawn': -4, 'Mate': None}"
r2q1rk1/pp1n1ppp/5n2/2bp4/8/2P2N2/PP3PPP/RNBQR1K1 w - - 0 11,3,"{'Move': 'f3d4', 'Centipawn': -21, 'Mate': None}"
r2q1rk1/pp1n1ppp/5n2/2bp4/1P6/2P2N2/P4PPP/RNBQR1K1 b - - 0 11,1,"{'Move': 'c5d6', 'Centipawn': -22, 'Mate': None}"
r2q1rk1/pp1n1ppp/5n2/2bp4/1P6/2P2N2/P4PPP/RNBQR1K1 b - - 0 11,2,"{'Move': 'c5b6', 'Centipawn': -21, 'Mate': None}"
r2q1rk1/pp1n1ppp/5n2/2bp4/1P6/2P2N2/P4PPP/RNBQR1K1 b - - 0 11,3,"{'Move': 'c5e7', 'Centipawn': 8, 'Mate': None}"
r2q1rk1/pp1nbppp/5n2/3p4/1P6/2P2N2/P4PPP/RNBQR1K1 w - - 1 12,1,"{'Move': 'c1e3', 'Centipawn': 10, 'Mate': None}"
r2q1rk1/pp1nbppp/5n2/3p4/1P6/2P2N2/P4PPP/RNBQR1K1 w - - 1 12,2,"{'Move': 'd1b3', 'Centipawn': 8, 'Mate': None}"
r2q1rk1/pp1nbppp/5n2/3p4/1P6/2P2N2/P4PPP/RNBQR1K1 w - - 1 12,3,"{'Move': 'c1f4', 'Centipawn': 6, 'Mate': None}"
r2q1rk1/pp1nbppp/5n2/3p4/1P6/2P2N2/P2N1PPP/R1BQR1K1 b - - 2 12,1,"{'Move': 'f8e8', 'Centipawn': -32, 'Mate': None}"
r2q1rk1/pp1nbppp/5n2/3p4/1P6/2P2N2/P2N1PPP/R1BQR1K1 b - - 2 12,2,"{'Move': 'e7d6', 'Centipawn': -22, 'Mate': None}"
r2q1rk1/pp1nbppp/5n2/3p4/1P6/2P2N2/P2N1PPP/R1BQR1K1 b - - 2 12,3,"{'Move': 'a8c8', 'Centipawn': -14, 'Mate': None}"
r2qr1k1/pp1nbppp/5n2/3p4/1P6/2P2N2/P2N1PPP/R1BQR1K1 w - - 3 13,1,"{'Move': 'a2a4', 'Centipawn': -30, 'Mate': None}"
r2qr1k1/pp1nbppp/5n2/3p4/1P6/2P2N2/P2N1PPP/R1BQR1K1 w - - 3 13,2,"{'Move': 'd1b3', 'Centipawn': -32, 'Mate': None}"
r2qr1k1/pp1nbppp/5n2/3p4/1P6/2P2N2/P2N1PPP/R1BQR1K1 w - - 3 13,3,"{'Move': 'c1b2', 'Centipawn': -33, 'Mate': None}"
r2qr1k1/pp1nbppp/5n2/3p4/1P1N4/2P5/P2N1PPP/R1BQR1K1 b - - 4 13,1,"{'Move': 'a8c8', 'Centipawn': -64, 'Mate': None}"
r2qr1k1/pp1nbppp/5n2/3p4/1P1N4/2P5/P2N1PPP/R1BQR1K1 b - - 4 13,2,"{'Move': 'd8c7', 'Centipawn': -63, 'Mate': None}"
r2qr1k1/pp1nbppp/5n2/3p4/1P1N4/2P5/P2N1PPP/R1BQR1K1 b - - 4 13,3,"{'Move': 'h7h6', 'Centipawn': -57, 'Mate': None}"
r2qrbk1/pp1n1ppp/5n2/3p4/1P1N4/2P5/P2N1PPP/R1BQR1K1 w - - 5 14,1,"{'Move': 'e1e8', 'Centipawn': -28, 'Mate': None}"
r2qrbk1/pp1n1ppp/5n2/3p4/1P1N4/2P5/P2N1PPP/R1BQR1K1 w - - 5 14,2,"{'Move': 'd2f3', 'Centipawn': -44, 'Mate': None}"
r2qrbk1/pp1n1ppp/5n2/3p4/1P1N4/2P5/P2N1PPP/R1BQR1K1 w - - 5 14,3,"{'Move': 'd2f1', 'Centipawn': -46, 'Mate': None}"
r2qrbk1/pp1n1ppp/5n2/3p4/1P1N4/2P2N2/P4PPP/R1BQR1K1 b - - 6 14,1,"{'Move': 'f6e4', 'Centipawn': -42, 'Mate': None}"
r2qrbk1/pp1n1ppp/5n2/3p4/1P1N4/2P2N2/P4PPP/R1BQR1K1 b - - 6 14,2,"{'Move': 'd8c7', 'Centipawn': -39, 'Mate': None}"
r2qrbk1/pp1n1ppp/5n2/3p4/1P1N4/2P2N2/P4PPP/R1BQR1K1 b - - 6 14,3,"{'Move': 'e8e1', 'Centipawn': -36, 'Mate': None}"
r3rbk1/ppqn1ppp/5n2/3p4/1P1N4/2P2N2/P4PPP/R1BQR1K1 w - - 7 15,1,"{'Move': 'e1e8', 'Centipawn': -36, 'Mate': None}"
r3rbk1/ppqn1ppp/5n2/3p4/1P1N4/2P2N2/P4PPP/R1BQR1K1 w - - 7 15,2,"{'Move': 'd4e2', 'Centipawn': -47, 'Mate': None}"
r3rbk1/ppqn1ppp/5n2/3p4/1P1N4/2P2N2/P4PPP/R1BQR1K1 w - - 7 15,3,"{'Move': 'c1d2', 'Centipawn': -54, 'Mate': None}"
r3rbk1/ppqn1ppp/5n2/3p4/1P1N4/2P2N2/PB3PPP/R2QR1K1 b - - 8 15,1,"{'Move': 'f6e4', 'Centipawn': -86, 'Mate': None}"
r3rbk1/ppqn1ppp/5n2/3p4/1P1N4/2P2N2/PB3PPP/R2QR1K1 b - - 8 15,2,"{'Move': 'd7b6', 'Centipawn': -83, 'Mate': None}"
r3rbk1/ppqn1ppp/5n2/3p4/1P1N4/2P2N2/PB3PPP/R2QR1K1 b - - 8 15,3,"{'Move': 'e8e1', 'Centipawn': -78, 'Mate': None}"
r3rbk1/ppqn1ppp/8/3p4/1P1Nn3/2P2N2/PB3PPP/R2QR1K1 w - - 9 16,1,"{'Move': 'd4f5', 'Centipawn': -80, 'Mate': None}"
r3rbk1/ppqn1ppp/8/3p4/1P1Nn3/2P2N2/PB3PPP/R2QR1K1 w - - 9 16,2,"{'Move': 'd4c2', 'Centipawn': -88, 'Mate': None}"
r3rbk1/ppqn1ppp/8/3p4/1P1Nn3/2P2N2/PB3PPP/R2QR1K1 w - - 9 16,3,"{'Move': 'f3d2', 'Centipawn': -92, 'Mate': None}"
r3rbk1/ppqn1ppp/8/3p4/1P1Nn3/2P2N2/PB3PPP/2RQR1K1 b - - 10 16,1,"{'Move': 'd7b6', 'Centipawn': -104, 'Mate': None}"
r3rbk1/ppqn1ppp/8/3p4/1P1Nn3/2P2N2/PB3PPP/2RQR1K1 b - - 10 16,2,"{'Move': 'g7g6', 'Centipawn': -87, 'Mate': None}"
r3rbk1/ppqn1ppp/8/3p4/1P1Nn3/2P2N2/PB3PPP/2RQR1K1 b - - 10 16,3,"{'Move': 'a8d8', 'Centipawn': -81, 'Mate': None}"
r3rbk1/ppq2ppp/1n6/3p4/1P1Nn3/2P2N2/PB3PPP/2RQR1K1 w - - 11 17,1,"{'Move': 'c1c2', 'Centipawn': -108, 'Mate': None}"
r3rbk1/ppq2ppp/1n6/3p4/1P1Nn3/2P2N2/PB3PPP/2RQR1K1 w - - 11 17,2,"{'Move': 'f3d2', 'Centipawn': -112, 'Mate': None}"
r3rbk1/ppq2ppp/1n6/3p4/1P1Nn3/2P2N2/PB3PPP/2RQR1K1 w - - 11 17,3,"{'Move': 'b2a1', 'Centipawn': -120, 'Mate': None}"
